level,program,criteria,source_file
UG,UG (ALL),. Proof of Age & Nationality (Passport/Birth Certificate/National ID).,UG FOREIGN Program_Process.pdf
UG,UG (ALL),. Both 11th and 12th Marksheets (for Nepal Education Board Candidates),UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ General Eligibility,UG FOREIGN Program_Process.pdf
UG,UG (ALL),Any foreign national with valid passport.,UG FOREIGN Program_Process.pdf
UG,UG (ALL),OCI (Overseas Citizen of India) /PIO (Person Of Origin) Candidates.,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ English should have been studied in the higher secondary level OR the candidate,UG FOREIGN Program_Process.pdf
UG,UG (ALL),should have studied in an English medium school.,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ Mathematics and Physics are compulsory two subjects at A level/Form VI/ Senior,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ The third subject can either be Chemistry / Computer Sciences / Electronics /,UG FOREIGN Program_Process.pdf
UG,UG (ALL),"programmes, the eligible combination is either Physics, Chemistry and",UG FOREIGN Program_Process.pdf
UG,UG (ALL),"Mathematics (PCM) OR Physics, Chemistry and Biology (PCB).",UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ A pass with Minimum aggregate of 55% in the above mentioned subjects in,UG FOREIGN Program_Process.pdf
UG,UG (ALL),"standard XII or its equivalent. For candidates from Nepal, A pass with minimum of",UG FOREIGN Program_Process.pdf
UG,UG (ALL),5% aggregate in the above subjects for Class 11 and Class 12 put -together is,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ 12 years High School Graduation / Diploma / Certificate of an approved Board,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ 12 years Secondary Stage qualifications of National Examination Board / Council,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ High School Certificate HSC and Cambridge School Certificate A level from the,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ Any other examination of the foreign country as found equivalent to 10+2,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ Applicants must provide their qualifying mark statement from the respective board,UG FOREIGN Program_Process.pdf
UG,UG (ALL),FOREIGN FAQS:,UG FOREIGN FAQ.pdf
UG,UG (ALL),". Who is considered a ""Foreign"" nationals for admissions?",UG FOREIGN FAQ.pdf
UG,UG (ALL),Any foreign national holding a valid foreign passport is eligible to apply under this category.,UG FOREIGN FAQ.pdf
UG,UG (ALL),What documents are required to prove foreign nationality?,UG FOREIGN FAQ.pdf
UG,UG (ALL),You'll need to provide a copy of your valid passport or National ID as proof of your foreign,UG FOREIGN FAQ.pdf
UG,UG (ALL),National ID (For Nepal and Bhutan Candidates) as proof of your foreign nationality.,UG FOREIGN FAQ.pdf
UG,UG (ALL),Is there an entrance exam for Foreign admissions?,UG FOREIGN FAQ.pdf
UG,UG (ALL),We offer direct admission to all programmes for Foreign students based on their eligibility,UG FOREIGN FAQ.pdf
UG,B.Tech,"requirements. However OCI/PIO candidates can also appear for VITEEE, where Admission",UG FOREIGN FAQ.pdf
UG,B.Tech,is based on the VITEEE rank and the counselling procedure.For more,UG FOREIGN FAQ.pdf
UG,UG (ALL),"Typically, you'll need to have completed 12 years of schooling (equivalent to the 10+2",UG FOREIGN FAQ.pdf
UG,UG (ALL),core subjects.,UG FOREIGN FAQ.pdf
UG,UG (ALL),A minimum aggregate of 55% in PCM or PCB,UG FOREIGN FAQ.pdf
UG,UG (ALL),What is the fee structure for Foreign students?,UG FOREIGN FAQ.pdf
UG,UG (ALL),Please follow the link for the Foreign/ NRI fee structure:,UG FOREIGN FAQ.pdf
UG,B.Tech,How do I apply for B.Tech admission under the Foreign category?,UG FOREIGN FAQ.pdf
UG,UG (ALL),"If you have taken Physics, Chemistry and Maths in 12th grade, you will be eligible for all the",UG FOREIGN FAQ.pdf
UG,UG (ALL),eligible only for,UG FOREIGN FAQ.pdf
UG,UG (ALL),XII Mark statements of all attempts of qualifying examination,Document Submission.pdf
UG,UG (ALL),Migration Certificate (if issued by the board),Document Submission.pdf
UG,UG (ALL),Additional Documents required from NRI/Foreign students:,Document Submission.pdf
UG,UG (ALL),Age proof (Birth certificate / Passport Copy),Document Submission.pdf
UG,UG (ALL),X & XII mark sheet,Document Submission.pdf
UG,UG (ALL),Community Certificate (For SC/ST only),Document Submission.pdf
UG,UG (ALL),The candidate should submit the qualifying mark statement from the board,Document Submission.pdf
UG,UG (ALL),"Ranipet, Tirupattur, Tiruvannamalai districts are eligible for scholarship of Rs.",Academic Fee.pdf
UG,UG (ALL),NRI/ Foreigners should apply separate application Fees of the program is $3500 per,Academic Fee.pdf
UG,UG (ALL),The qualifying marks is relaxed by 10 % i.e. 50% in Overall Aggregate for applicants,Academic Fee.pdf
UG,UG (ALL),belong to SC/ST and applicants hailing from Jammu & Kashmir and the North,Academic Fee.pdf
UG,UG (ALL),Applicants belonging to SC/ST category must fill in the proforma as given in,Academic Fee.pdf
UG,UG (ALL),Applicants from NIOS / Correspondence mode are not eligible to apply.,Academic Fee.pdf
UG,UG (ALL),RESEARCH PROGRAM NRI/ FOREIGN,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
